time_seconds,distance_earth,distance_mars,second_ticker,neg_dist_earth,neg_dist_mars
0,0,0,,0,0
0.1,0.05,0.02,,-0.05,-0.02
0.2,0.2,0.07,,-0.2,-0.07
0.3,0.44,0.17,,-0.44,-0.17
0.4,0.78,0.3,,-0.78,-0.3
0.5,1.23,0.46,,-1.23,-0.46
0.6,1.77,0.67,,-1.77,-0.67
0.7,2.4,0.91,,-2.4,-0.91
0.8,3.14,1.19,,-3.14,-1.19
0.9,3.97,1.5,,-3.97,-1.5
1,4.9,1.85,1,-4.9,-1.85
1.1,5.94,2.24,,-5.94,-2.24
1.2,7.06,2.67,,-7.06,-2.67
1.3,8.29,3.13,,-8.29,-3.13
1.4,9.61,3.64,,-9.61,-3.64
1.5,11.04,4.17,,-11.04,-4.17
1.6,12.56,4.75,,-12.56,-4.75
1.7,14.18,5.36,,-14.18,-5.36
1.8,15.89,6.01,,-15.89,-6.01
1.9,17.71,6.7,,-17.71,-6.7
2,19.62,7.42,1,-19.62,-7.42
2.1,21.63,8.18,,-21.63,-8.18
2.2,23.74,8.98,,-23.74,-8.98
2.3,25.95,9.81,,-25.95,-9.81
2.4,28.25,10.68,,-28.25,-10.68
2.5,30.66,11.59,,-30.66,-11.59
2.6,33.16,12.54,,-33.16,-12.54
2.7,35.76,13.52,,-35.76,-13.52
2.8,38.46,14.54,,-38.46,-14.54
2.9,41.25,15.6,,-41.25,-15.6
3,44.15,16.7,1,-44.15,-16.7
3.1,47.14,17.83,,-47.14,-17.83
3.2,50.23,19,,-50.23,-19
3.3,53.42,20.2,,-53.42,-20.2
3.4,56.7,21.44,,-56.7,-21.44
3.5,60.09,22.72,,-60.09,-22.72
3.6,63.57,24.04,,-63.57,-24.04
3.7,67.15,25.39,,-67.15,-25.39
3.8,70.83,26.79,,-70.83,-26.79
3.9,74.61,28.21,,-74.61,-28.21
4,78.48,29.68,1,-78.48,-29.68
4.1,82.45,31.18,,-82.45,-31.18
4.2,86.52,32.72,,-86.52,-32.72
4.3,90.69,34.3,,-90.69,-34.3
4.4,94.96,35.91,,-94.96,-35.91
4.5,99.33,37.56,,-99.33,-37.56
4.6,103.79,39.25,,-103.79,-39.25
4.7,108.35,40.98,,-108.35,-40.98
4.8,113.01,42.74,,-113.01,-42.74
4.9,117.77,44.54,,-117.77,-44.54
5,122.62,46.38,1,-122.62,-46.38
5.1,127.58,48.25,,-127.58,-48.25
5.2,132.63,50.16,,-132.63,-50.16
5.3,137.78,52.11,,-137.78,-52.11
5.4,143.03,54.09,,-143.03,-54.09
5.5,148.38,56.11,,-148.38,-56.11
5.6,153.82,58.17,,-153.82,-58.17
5.7,159.36,60.27,,-159.36,-60.27
5.8,165,62.4,,-165,-62.4
5.9,170.74,64.57,,-170.74,-64.57
6,176.58,66.78,1,-176.58,-66.78
6.1,182.52,69.02,,-182.52,-69.02
6.2,188.55,71.31,,-188.55,-71.31
6.3,194.68,73.62,,-194.68,-73.62
6.4,200.91,75.98,,-200.91,-75.98
6.5,207.24,78.37,,-207.24,-78.37
6.6,213.66,80.8,,-213.66,-80.8
6.7,220.19,83.27,,-220.19,-83.27
6.8,226.81,85.78,,-226.81,-85.78
6.9,233.53,88.32,,-233.53,-88.32
7,240.34,90.89,1,-240.34,-90.89
7.1,247.26,93.51,,-247.26,-93.51
7.2,254.28,96.16,,-254.28,-96.16
7.3,261.39,98.85,,-261.39,-98.85
7.4,268.6,101.58,,-268.6,-101.58
7.5,275.91,104.34,,-275.91,-104.34
7.6,283.31,107.14,,-283.31,-107.14
7.7,290.82,109.98,,-290.82,-109.98
7.8,298.42,112.86,,-298.42,-112.86
7.9,306.12,115.77,,-306.12,-115.77
8,313.92,118.72,1,-313.92,-118.72
8.1,321.82,121.71,,-321.82,-121.71
8.2,329.81,124.73,,-329.81,-124.73
8.3,337.91,127.79,,-337.91,-127.79
8.4,346.1,130.89,,-346.1,-130.89
8.5,354.39,134.02,,-354.39,-134.02
8.6,362.77,137.2,,-362.77,-137.2
8.7,371.26,140.4,,-371.26,-140.4
8.8,379.84,143.65,,-379.84,-143.65
8.9,388.53,146.93,,-388.53,-146.93
9,397.3,150.26,1,-397.3,-150.26
9.1,406.18,153.61,,-406.18,-153.61
9.2,415.16,157.01,,-415.16,-157.01
9.3,424.23,160.44,,-424.23,-160.44
9.4,433.41,163.91,,-433.41,-163.91
9.5,442.68,167.41,,-442.68,-167.41
9.6,452.04,170.96,,-452.04,-170.96
9.7,461.51,174.54,,-461.51,-174.54
9.8,471.08,178.15,,-471.08,-178.15
9.9,480.74,181.81,,-480.74,-181.81
10,490.5,185.5,1,-490.5,-185.5